player,team,exp_g_match,is_taker,exp_goals,p_gb
Eberechi Eze,England,0.2035377683450658,False,1.18735,0.0
Reece James,England,0.0402399070082436,False,0.23295,0.0
Jarell Quansah,England,0.061343369253035,False,0.3566,0.0
Caleb Yirenkyi,Ghana,0.0826666666666666,False,1.3486,0.0
Thomas Partey,Ghana,0.0572423788194417,False,0.2396,0.0
Abdul Fatawu,Ghana,0.137802688158229,False,0.5858,0.0
Kwasi Sibo,Ghana,0.0546972752675825,False,0.22515,0.0
Jordan Ayew (captain),Ghana,0.1515987422194176,False,0.63585,0.0
Brandon Thomas-Asante,Ghana,0.2333333333333333,False,0.97455,0.0
Antoine Semenyo,Ghana,0.2463305928262554,False,1.03215,0.0
Morgan Rogers,England,0.1705972566659961,False,0.99175,0.0
Nicolás González,Argentina,0.1103212792000273,False,0.72185,0.0
Thiago Almada,Argentina,0.1092097042282868,False,0.7046,0.0
Giuliano Simeone,Argentina,0.1211428879482296,False,0.7932,0.0
Nico Paz,Argentina,0.1794092410759346,False,1.1668,0.0
Alexis Mac Allister,Argentina,0.1335724325929384,False,0.878,0.0
José Manuel López,Argentina,0.2333333333333333,False,1.5185,0.0
Lautaro Martínez,Argentina,0.2185338590581814,False,1.4414,0.0
Enzo Fernández,Argentina,0.1384296781000389,False,0.91355,0.0
Facundo Medina,Argentina,0.0436643741541491,False,0.28425,0.0
Xaver Schlager,Austria,0.0663049436294045,False,0.27035,0.0
Edo Kayembe,DR Congo,0.0826666666666666,False,0.27255,0.0
Nicolas Seiwald,Austria,0.0460405124938248,False,0.18515,0.0
Marcel Sabitzer,Austria,0.105287724025667,False,0.4256,0.0
Florian Grillitsch,Austria,0.0494634524528289,False,0.1996,0.0
Michael Gregoritsch,Austria,0.1535625845912148,False,0.63705,0.0
Saša Kalajdžić,Austria,0.1720734706266488,False,0.70095,0.0
Philipp Lienhart,Austria,0.0528859018622359,False,0.2148,0.0
Phillipp Mwene,Austria,0.0537532848170377,False,0.2167,0.0
Carney Chukwuemeka,Austria,0.0657732247410084,False,0.2717,0.0
