team,no,pos,player,birth_date,age,caps,goals,club,club_country,nn,mins,op_rate90,pen_per90,role,g,npxg,sh90,mn,exp_min,exp_shots_match,is_taker,pen_rate90,exp_g90,exp_g_match
Tunisia,23,DF,Moutaz Neffati,2004-09-04,21,5,0,IFK Norrköping,Sweden,moutaz neffati,,0.05,0.0,,,,0.6,0.0,72.0,0.48,False,0.0,0.05,0.04000000000000001
Tunisia,24,DF,Raed Chikhaoui,2004-06-09,22,0,0,US Monastir,Tunisia,raed chikhaoui,,0.05,0.0,,,,0.6,0.0,72.0,0.48,False,0.0,0.05,0.04000000000000001
Tunisia,25,MF,Anis Ben Slimane,2001-03-16,25,41,4,Norwich City,England,anis ben slimane,412.0,0.11332819653767424,0.0,MID,0.0,0.8,1.5912236359785386,412.0,37.333333333333336,0.6600631378873938,False,0.0,0.11332819653767424,0.047010214860072286
Tunisia,26,MF,Sebastian Tounekti,2002-07-13,23,12,1,Celtic,Scotland,sebastian tounekti,654.0,0.21534608421909873,0.0,FWD,0.0,0.32,1.5945829254203132,654.0,72.0,1.2756663403362507,False,0.0,0.21534608421909873,0.172276867375279
Belgium,1,GK,Thibaut Courtois,1992-05-11,34,109,0,Real Madrid,Spain,thibaut courtois,8058.0,0.00018805966665654095,0.0,GK,0.0,0.0,0.0005720320235132186,8058.0,85.0,0.0005402524666513731,False,0.0,0.00018805966665654095,0.00017761190739784422
Belgium,2,DF,Zeno Debast,2003-10-24,22,26,1,Sporting CP,Portugal,zeno debast,1281.0,0.04750971538698484,0.0,DEF,1.0,0.39,0.79397401595531,1281.0,60.75,0.5359324607698343,False,0.0,0.04750971538698484,0.03206905788621477
Belgium,3,DF,Arthur Theate,2000-05-25,26,33,1,Eintracht Frankfurt,Germany,arthur theate,10070.0,0.0526196442488776,0.0,DEF,3.0,6.510000000000001,0.8152359885122401,10070.0,83.5,0.7563578337863561,False,0.0,0.0526196442488776,0.04881933660868089
Belgium,4,DF,Brandon Mechele,1993-01-28,33,9,1,Club Brugge,Belgium,brandon mechele,2959.0,0.04329150429919586,0.0,DEF,2.0,1.01,0.36544482078417106,2959.0,85.0,0.345142330740606,False,0.0,0.04329150429919586,0.040886420727018306
Belgium,5,DF,Maxim De Cuyper,2000-12-22,25,19,4,Brighton & Hove Albion,England,maxim de cuyper,3551.0,0.08783001208409323,0.02002252886510842,DEF,5.0,4.13,0.8624166096094769,3551.0,60.75,0.5821312114863969,False,0.0,0.08783001208409323,0.059285258156762936
Belgium,6,MF,Axel Witsel,1989-01-12,37,138,12,Girona,Spain,axel witsel,7323.0,0.04473921778588998,0.0,DEF,3.0,3.59,0.3921529819318839,7323.0,76.10526315789474,0.33161006542310184,False,0.0,0.04473921778588998,0.037832110478594694
