player,team_sim,pos,age,caps,goals,share,exp_goals,goals_90pct,p_golden_boot
Evann Guessand,Ivory Coast,FW,24,21,4,0.04994135305128495,0.3552,1.0,0.0
Evan Ndicka,Ivory Coast,DF,26,28,0,0.0016006843926693892,0.0117,0.0,0.0
Emmanuel Agbadou,Ivory Coast,DF,28,20,2,0.016524712406675166,0.1164,1.0,0.0
Ibrahim Sangaré,Ivory Coast,MF,28,58,12,0.10333461679284824,0.72335,2.0,0.0
Guéla Doué,Ivory Coast,DF,23,20,3,0.02386902903186413,0.1702,1.0,0.0
Mohamed Koné,Ivory Coast,GK,24,0,0,8.323558841880825e-05,0.0004,0.0,0.0
Jean Michaël Seri,Ivory Coast,MF,34,65,4,0.039427383987856536,0.2755,1.0,0.0
Oumar Diakité,Ivory Coast,FW,22,29,6,0.058635596699889214,0.4208,1.0,0.0
Christopher Opéri,Ivory Coast,DF,29,12,0,0.0024010265890040843,0.0177,0.0,0.0
Elye Wahi,Ivory Coast,FW,23,2,0,0.045401230046622686,0.3222,1.0,0.0
Yan Diomande,Ivory Coast,FW,19,10,3,0.06571230664642756,0.4615,1.0,0.0
Simon Adingra,Ivory Coast,FW,24,29,5,0.05130614711240306,0.358,1.0,0.0
Ange-Yoan Bonny,Ivory Coast,FW,22,1,0,0.04994135305128495,0.3491,1.0,0.0
Odilon Kossounou,Ivory Coast,DF,25,35,0,0.0017150189921457744,0.01165,0.0,0.0
Seko Fofana,Ivory Coast,MF,31,32,7,0.05574848712701576,0.398,1.0,0.0
Wilfried Singo,Ivory Coast,DF,25,34,1,0.008503635836056133,0.0585,0.0,0.0
Amad Diallo,Ivory Coast,FW,23,19,6,0.0713447900732642,0.5056,1.0,0.0
Sabri Ben Hessen,Tunisia,GK,29,2,0,0.0001244950644230008,0.0005,0.0,0.0
Mohamed Amine Ben Hamida,Tunisia,DF,30,13,0,0.003688742649570394,0.00875,0.0,0.0
Yan Valery,Tunisia,DF,27,22,0,0.0028982977960910236,0.0076,0.0,0.0
Firas Chaouat,Tunisia,FW,30,30,6,0.11674262451387621,0.27255,1.0,0.0
Rayan Elloumi,Tunisia,FW,18,4,0,0.061289877869785014,0.1431,1.0,0.0
